exp_id,seed,model,generation,best_f1,mean_f1,mutation_rate,crossover_rate,population_size,tournament_k,elite_n
A,44,LR,0,0.962948350071736,0.7751462455135734,0.1,0.8,30,3,1
A,44,LR,1,0.962948350071736,0.9440441924484795,0.1,0.8,30,3,1
A,44,LR,2,0.9632319977584757,0.9480712901903205,0.1,0.8,30,3,1
A,44,LR,3,0.9633264933880529,0.9597482746991568,0.1,0.8,30,3,1
A,44,LR,4,0.9633264933880529,0.9616370811122886,0.1,0.8,30,3,1
A,44,LR,5,0.9633264933880529,0.9611597691453159,0.1,0.8,30,3,1
A,44,LR,6,0.9633264933880529,0.9584409284198234,0.1,0.8,30,3,1
A,44,LR,7,0.9672480620155038,0.959192263452488,0.1,0.8,30,3,1
A,44,LR,8,0.9672480620155038,0.9613216681636819,0.1,0.8,30,3,1
A,44,LR,9,0.9672480620155038,0.958906298954846,0.1,0.8,30,3,1
A,44,LR,10,0.9672480620155038,0.9623449822435168,0.1,0.8,30,3,1
A,44,LR,11,0.9672480620155038,0.9650518062435154,0.1,0.8,30,3,1
A,44,LR,12,0.9672480620155038,0.9637867570665992,0.1,0.8,30,3,1
A,44,LR,13,0.9672480620155038,0.9642288498481278,0.1,0.8,30,3,1
A,44,LR,14,0.9672480620155038,0.9641951937918289,0.1,0.8,30,3,1
A,44,LR,15,0.9672480620155038,0.9650744326043259,0.1,0.8,30,3,1
A,44,LR,16,0.9672480620155038,0.9653590662811431,0.1,0.8,30,3,1
A,44,LR,17,0.9672480620155038,0.9635005818240806,0.1,0.8,30,3,1
A,44,LR,18,0.9672480620155038,0.9661202763249588,0.1,0.8,30,3,1
A,44,LR,19,0.9716719303282609,0.9666224552536783,0.1,0.8,30,3,1
A,44,LR,20,0.9716719303282609,0.9639597119781999,0.1,0.8,30,3,1
A,44,LR,21,0.9716719303282609,0.9666710562044892,0.1,0.8,30,3,1
A,44,LR,22,0.9716719303282609,0.9651357442538874,0.1,0.8,30,3,1
A,44,LR,23,0.9716719303282609,0.9660266943062227,0.1,0.8,30,3,1
A,44,LR,24,0.9716719303282609,0.9666148316749885,0.1,0.8,30,3,1
