exp_id,seed,model,generation,best_f1,mean_f1,mutation_rate,crossover_rate,population_size,tournament_k,elite_n
B,43,LR,0,0.9801019164576626,0.7293047652579135,0.2,0.7,60,2,2
B,43,LR,1,0.9801019164576626,0.9091673824197105,0.2,0.7,60,2,2
B,43,LR,2,0.9801019164576626,0.9607006136770432,0.2,0.7,60,2,2
B,43,LR,3,0.9804736186123805,0.9668050678692538,0.2,0.7,60,2,2
B,43,LR,4,0.9804736186123805,0.9684265316286497,0.2,0.7,60,2,2
B,43,LR,5,0.9804736186123805,0.9713762774438275,0.2,0.7,60,2,2
B,43,LR,6,0.9804736186123805,0.9704729482768844,0.2,0.7,60,2,2
B,43,LR,7,0.9804736186123805,0.9709671596491646,0.2,0.7,60,2,2
B,43,LR,8,0.9804736186123805,0.9723651122219645,0.2,0.7,60,2,2
B,43,LR,9,0.9804736186123805,0.9733230941570997,0.2,0.7,60,2,2
B,43,LR,10,0.9804736186123805,0.9720674768861856,0.2,0.7,60,2,2
B,43,LR,11,0.9804736186123805,0.9703616447586032,0.2,0.7,60,2,2
B,43,LR,12,0.9804736186123805,0.9713566268277626,0.2,0.7,60,2,2
B,43,LR,13,0.9804736186123805,0.9718996398916574,0.2,0.7,60,2,2
B,43,LR,14,0.9804736186123805,0.9728543779761541,0.2,0.7,60,2,2
B,43,LR,15,0.9804736186123805,0.9718705747209615,0.2,0.7,60,2,2
B,43,LR,16,0.9804736186123805,0.9742095448742464,0.2,0.7,60,2,2
B,43,LR,17,0.9804736186123805,0.9730845857367807,0.2,0.7,60,2,2
B,43,LR,18,0.9804736186123805,0.9747107740322181,0.2,0.7,60,2,2
B,43,LR,19,0.9804736186123805,0.9696881095776125,0.2,0.7,60,2,2
B,43,LR,20,0.9804736186123805,0.9707552804708103,0.2,0.7,60,2,2
B,43,LR,21,0.9804736186123805,0.9703455121637534,0.2,0.7,60,2,2
B,43,LR,22,0.9804736186123805,0.9721298000825811,0.2,0.7,60,2,2
B,43,LR,23,0.9804736186123805,0.9699036694238362,0.2,0.7,60,2,2
B,43,LR,24,0.9804736186123805,0.969462528970035,0.2,0.7,60,2,2
