generation,best_fitness,mean_fitness,std_fitness,best_genes,best_params,elapsed_sec
0,0.9799023830031581,0.7742514571769833,0.36093784347735736,"{""C"": 0.2052313905088612, ""class_weight"": null, ""max_iter"": 3462, ""penalty"": ""l2"", ""solver"": ""lbfgs""}","{""C"": 0.2052313905088612, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 3462, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",3.3181421756744385
1,0.9801998692444195,0.9650870157904521,0.009911415273177347,"{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""max_iter"": 1648, ""penalty"": ""l1"", ""solver"": ""saga""}","{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 1.0, ""max_iter"": 3296, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""saga"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",3.201174020767212
2,0.9801998692444195,0.9714883805799749,0.006291251885960644,"{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""max_iter"": 1648, ""penalty"": ""l1"", ""solver"": ""saga""}","{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 1.0, ""max_iter"": 3296, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""saga"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",2.0062060356140137
3,0.9801998692444195,0.9725262265582773,0.006884623195362254,"{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""max_iter"": 1648, ""penalty"": ""l1"", ""solver"": ""saga""}","{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 1.0, ""max_iter"": 3296, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""saga"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",3.5951507091522217
4,0.9801998692444195,0.9717865695764868,0.009087969381607814,"{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""max_iter"": 1648, ""penalty"": ""l1"", ""solver"": ""saga""}","{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 1.0, ""max_iter"": 3296, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""saga"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",15.292436122894287
5,0.9801998692444195,0.9740520094915631,0.00752050501274606,"{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""max_iter"": 1648, ""penalty"": ""l1"", ""solver"": ""saga""}","{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 1.0, ""max_iter"": 3296, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""saga"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",16.54752779006958
6,0.9801998692444195,0.9735520380835476,0.0074103616360341245,"{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""max_iter"": 1648, ""penalty"": ""l1"", ""solver"": ""saga""}","{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 1.0, ""max_iter"": 3296, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""saga"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",29.586334943771362
7,0.9801998692444195,0.9745856073244374,0.00671486355692482,"{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""max_iter"": 1648, ""penalty"": ""l1"", ""solver"": ""saga""}","{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 1.0, ""max_iter"": 3296, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""saga"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",29.87210488319397
8,0.9801998692444195,0.9764180256608155,0.007168636282123773,"{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""max_iter"": 1648, ""penalty"": ""l1"", ""solver"": ""saga""}","{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 1.0, ""max_iter"": 3296, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""saga"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",42.18643403053284
9,0.9801998692444195,0.9756586158534752,0.007793537607165366,"{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""max_iter"": 1648, ""penalty"": ""l1"", ""solver"": ""saga""}","{""C"": 0.9904660657749933, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 1.0, ""max_iter"": 3296, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""saga"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",34.48428988456726
