exp_id,seed,model,generation,best_f1,mean_f1,mutation_rate,crossover_rate,population_size,tournament_k,elite_n
B,44,RF,0,0.9321161048689138,0.9105671404480492,0.2,0.7,60,2,2
B,44,RF,1,0.9321161048689138,0.9164927413406847,0.2,0.7,60,2,2
B,44,RF,2,0.932351290684624,0.9196423899884159,0.2,0.7,60,2,2
B,44,RF,3,0.9368461058726276,0.9238000327781501,0.2,0.7,60,2,2
B,44,RF,4,0.9368461058726276,0.9272307605426985,0.2,0.7,60,2,2
B,44,RF,5,0.9368461058726276,0.9290365166468963,0.2,0.7,60,2,2
B,44,RF,6,0.9406526902347675,0.9297833687095536,0.2,0.7,60,2,2
B,44,RF,7,0.9406526902347675,0.9309336293836237,0.2,0.7,60,2,2
B,44,RF,8,0.9406526902347675,0.9304347511825912,0.2,0.7,60,2,2
B,44,RF,9,0.9406526902347675,0.9303735312020633,0.2,0.7,60,2,2
B,44,RF,10,0.9406526902347675,0.9312342000363254,0.2,0.7,60,2,2
B,44,RF,11,0.9406526902347675,0.9325206768136339,0.2,0.7,60,2,2
B,44,RF,12,0.9406526902347675,0.933042216401153,0.2,0.7,60,2,2
B,44,RF,13,0.9406526902347675,0.934183341160782,0.2,0.7,60,2,2
B,44,RF,14,0.9406526902347675,0.9339171696427616,0.2,0.7,60,2,2
B,44,RF,15,0.9406526902347675,0.9341557418018946,0.2,0.7,60,2,2
B,44,RF,16,0.9406526902347675,0.9340666318715987,0.2,0.7,60,2,2
B,44,RF,17,0.9406526902347675,0.9334493447912083,0.2,0.7,60,2,2
B,44,RF,18,0.9406526902347675,0.9338883487373216,0.2,0.7,60,2,2
B,44,RF,19,0.9406526902347675,0.9345185806693243,0.2,0.7,60,2,2
B,44,RF,20,0.9406526902347675,0.933941846080929,0.2,0.7,60,2,2
B,44,RF,21,0.9406526902347675,0.9333552496487825,0.2,0.7,60,2,2
B,44,RF,22,0.9406526902347675,0.9329387715083545,0.2,0.7,60,2,2
B,44,RF,23,0.9406526902347675,0.9333812157664336,0.2,0.7,60,2,2
B,44,RF,24,0.9406526902347675,0.9332041867579659,0.2,0.7,60,2,2
