exp_id,seed,model,generation,best_f1,mean_f1,mutation_rate,crossover_rate,population_size,tournament_k,elite_n
C,43,RF,0,0.9381574602575592,0.9302694379995992,0.05,0.9,30,4,2
C,43,RF,1,0.9381574602575592,0.934163533418937,0.05,0.9,30,4,2
C,43,RF,2,0.9418922875217982,0.9366763581490691,0.05,0.9,30,4,2
C,43,RF,3,0.9418922875217982,0.9382480729973535,0.05,0.9,30,4,2
C,43,RF,4,0.9418922875217982,0.9389927796833781,0.05,0.9,30,4,2
C,43,RF,5,0.9418922875217982,0.9398125373289296,0.05,0.9,30,4,2
C,43,RF,6,0.9418922875217982,0.9414851728805217,0.05,0.9,30,4,2
C,43,RF,7,0.9418922875217982,0.9418922875217982,0.05,0.9,30,4,2
C,43,RF,8,0.9418922875217982,0.939355729817544,0.05,0.9,30,4,2
C,43,RF,9,0.9418922875217982,0.9401390851270561,0.05,0.9,30,4,2
C,43,RF,10,0.9418922875217982,0.9407927419944637,0.05,0.9,30,4,2
C,43,RF,11,0.9418922875217982,0.9416252289029305,0.05,0.9,30,4,2
C,43,RF,12,0.9418922875217982,0.9416252289029305,0.05,0.9,30,4,2
C,43,RF,13,0.9418922875217982,0.9409533144096094,0.05,0.9,30,4,2
C,43,RF,14,0.9418922875217982,0.9396072266561439,0.05,0.9,30,4,2
C,43,RF,15,0.9418922875217982,0.9410936200195127,0.05,0.9,30,4,2
C,43,RF,16,0.9418922875217982,0.9409535639971036,0.05,0.9,30,4,2
C,43,RF,17,0.9418922875217982,0.9406681856561566,0.05,0.9,30,4,2
C,43,RF,18,0.9418922875217982,0.9409688761898771,0.05,0.9,30,4,2
C,43,RF,19,0.9418922875217982,0.9409533144096094,0.05,0.9,30,4,2
C,43,RF,20,0.9418922875217982,0.9417497231450719,0.05,0.9,30,4,2
C,43,RF,21,0.9418922875217982,0.9416432990375156,0.05,0.9,30,4,2
C,43,RF,22,0.9418922875217982,0.9417497231450719,0.05,0.9,30,4,2
C,43,RF,23,0.9418922875217982,0.9406837474364242,0.05,0.9,30,4,2
C,43,RF,24,0.9418922875217982,0.9418922875217982,0.05,0.9,30,4,2
C,43,RF,25,0.9418922875217982,0.9408286326761395,0.05,0.9,30,4,2
C,43,RF,26,0.9418922875217982,0.9407948132699583,0.05,0.9,30,4,2
C,43,RF,27,0.9418922875217982,0.9404036353916063,0.05,0.9,30,4,2
C,43,RF,28,0.9418922875217982,0.9404370177189649,0.05,0.9,30,4,2
C,43,RF,29,0.9418922875217982,0.941767793279657,0.05,0.9,30,4,2
C,43,RF,30,0.9418922875217982,0.9406887641450592,0.05,0.9,30,4,2
C,43,RF,31,0.9418922875217982,0.9409533144096094,0.05,0.9,30,4,2
C,43,RF,32,0.9418922875217982,0.9406520614019035,0.05,0.9,30,4,2
C,43,RF,33,0.9418922875217982,0.941078058239245,0.05,0.9,30,4,2
C,43,RF,34,0.9418922875217982,0.941360429050886,0.05,0.9,30,4,2
C,43,RF,35,0.9418922875217982,0.9397651032256438,0.05,0.9,30,4,2
C,43,RF,36,0.9418922875217982,0.9412181142616539,0.05,0.9,30,4,2
C,43,RF,37,0.9418922875217982,0.9405615119611063,0.05,0.9,30,4,2
C,43,RF,38,0.9418922875217982,0.9414851728805217,0.05,0.9,30,4,2
C,43,RF,39,0.9418922875217982,0.9414826645262041,0.05,0.9,30,4,2
C,43,RF,40,0.9418922875217982,0.9402611331110458,0.05,0.9,30,4,2
C,43,RF,41,0.9418922875217982,0.9416432990375156,0.05,0.9,30,4,2
C,43,RF,42,0.9418922875217982,0.9411998566357404,0.05,0.9,30,4,2
C,43,RF,43,0.9418922875217982,0.9417497231450719,0.05,0.9,30,4,2
C,43,RF,44,0.9418922875217982,0.9407929294857922,0.05,0.9,30,4,2
C,43,RF,45,0.9418922875217982,0.9418922875217982,0.05,0.9,30,4,2
C,43,RF,46,0.9418922875217982,0.940917236236605,0.05,0.9,30,4,2
C,43,RF,47,0.9418922875217982,0.940950806055292,0.05,0.9,30,4,2
C,43,RF,48,0.9418922875217982,0.9409688761898771,0.05,0.9,30,4,2
C,43,RF,49,0.9418922875217982,0.9414851728805217,0.05,0.9,30,4,2
