generation,best_fitness,mean_fitness,std_fitness,best_genes,best_params,elapsed_sec
0,0.9328543409518474,0.9215178521116774,0.005937970890907472,"{""ccp_alpha"": 0.009719809266332275, ""criterion"": ""log_loss"", ""max_depth"": 19, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 223}","{""bootstrap"": true, ""ccp_alpha"": 0.009719809266332275, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 19, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 223, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",14.439993143081665
1,0.9328543409518474,0.924248654298223,0.003175700305676266,"{""ccp_alpha"": 0.009719809266332275, ""criterion"": ""log_loss"", ""max_depth"": 19, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 223}","{""bootstrap"": true, ""ccp_alpha"": 0.009719809266332275, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 19, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 223, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",15.084305763244629
2,0.9328543409518474,0.9265918327006398,0.003275011283403223,"{""ccp_alpha"": 0.009719809266332275, ""criterion"": ""log_loss"", ""max_depth"": 19, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 223}","{""bootstrap"": true, ""ccp_alpha"": 0.009719809266332275, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 19, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 223, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",19.541728019714355
3,0.9411764705882352,0.9276613590579299,0.004592555524124663,"{""ccp_alpha"": 0.00941780791160593, ""criterion"": ""entropy"", ""max_depth"": 19, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 545}","{""bootstrap"": true, ""ccp_alpha"": 0.00941780791160593, ""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 19, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 545, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",18.871688842773438
4,0.9411764705882352,0.9293692374982013,0.0052054355385556614,"{""ccp_alpha"": 0.00941780791160593, ""criterion"": ""entropy"", ""max_depth"": 19, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 545}","{""bootstrap"": true, ""ccp_alpha"": 0.00941780791160593, ""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 19, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 545, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",19.330175161361694
5,0.9449112978524742,0.9338051991444087,0.006734420667385366,"{""ccp_alpha"": 0.005559472062201843, ""criterion"": ""log_loss"", ""max_depth"": 19, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 461}","{""bootstrap"": true, ""ccp_alpha"": 0.005559472062201843, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 19, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 461, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",20.824543952941895
6,0.9449112978524742,0.9364769465163493,0.007191411319857297,"{""ccp_alpha"": 0.005559472062201843, ""criterion"": ""log_loss"", ""max_depth"": 19, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 461}","{""bootstrap"": true, ""ccp_alpha"": 0.005559472062201843, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 19, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 461, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",22.069278955459595
7,0.9449112978524742,0.9392022048456456,0.006340766189021334,"{""ccp_alpha"": 0.005559472062201843, ""criterion"": ""log_loss"", ""max_depth"": 19, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 461}","{""bootstrap"": true, ""ccp_alpha"": 0.005559472062201843, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 19, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 461, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",22.77408194541931
8,0.9449112978524742,0.9384823040537932,0.008334347350724186,"{""ccp_alpha"": 0.005559472062201843, ""criterion"": ""log_loss"", ""max_depth"": 19, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 461}","{""bootstrap"": true, ""ccp_alpha"": 0.005559472062201843, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 19, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 461, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",21.93836212158203
9,0.9449112978524742,0.9413139022377807,0.006539993171772921,"{""ccp_alpha"": 0.005559472062201843, ""criterion"": ""log_loss"", ""max_depth"": 19, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 461}","{""bootstrap"": true, ""ccp_alpha"": 0.005559472062201843, ""class_weight"": ""balanced"", ""criterion"": ""log_loss"", ""max_depth"": 19, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 461, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",21.230242013931274
