epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1505,0.66925,2.65408,0.85663,0.00633,1,0.97579,0.79315,0.51586,2.99397,0.77954,0.00018,0.00018,0.00018
2,20.1022,0.60181,1.31201,0.81733,1,0.34154,0.99449,0.75461,0.58991,2.75194,0.77309,0.00036119,0.00036119,0.00036119
3,24.7546,0.50337,1.05853,0.82497,1,0.14965,0.97394,0.70755,0.54348,2.90561,0.7739,0.00052258,0.00052258,0.00052258
4,29.5929,0.48068,0.97334,0.83796,0.00633,1,0.89893,0.83886,0.3863,2.93919,0.74525,0.00066417,0.00066417,0.00066417
5,34.3792,0.46403,0.86258,0.83085,1,0.85797,0.995,0.93654,0.33655,2.74202,0.74662,0.00078596,0.00078596,0.00078596
6,38.9809,0.44228,0.85193,0.82151,1,0.45031,0.995,0.9292,0.35368,2.53637,0.74391,0.00088795,0.00088795,0.00088795
7,43.5202,0.44983,0.81959,0.85049,1,0.66324,0.995,0.92124,0.44009,2.35322,0.75495,0.00097014,0.00097014,0.00097014
8,48.1128,0.46142,0.85392,0.85546,1,0.61032,0.995,0.94596,0.32096,2.35747,0.7441,0.00103253,0.00103253,0.00103253
9,52.6777,0.45903,0.84372,0.83039,0.99815,1,0.995,0.95057,0.33041,1.98368,0.74476,0.00107512,0.00107512,0.00107512
10,57.2757,0.4592,0.81537,0.83055,0.99597,1,0.995,0.9225,0.42405,1.19993,0.76143,0.00109791,0.00109791,0.00109791
11,61.7414,0.39156,0.83515,0.79992,0.9955,1,0.995,0.95095,0.30216,1.14412,0.73839,0.00101,0.00101,0.00101
12,66.212,0.36214,0.81378,0.81086,0.99489,1,0.995,0.96055,0.26554,1.20865,0.73378,0.000911,0.000911,0.000911
13,70.7358,0.34909,0.82989,0.81078,0.99656,1,0.995,0.96113,0.28094,1.0246,0.7364,0.000812,0.000812,0.000812
14,75.2322,0.34066,0.77702,0.80173,0.99845,1,0.995,0.97486,0.295,0.78345,0.73961,0.000713,0.000713,0.000713
15,79.5872,0.3152,0.72535,0.80068,0.9984,1,0.995,0.9759,0.26924,0.77832,0.73798,0.000614,0.000614,0.000614
16,83.8793,0.31856,0.74081,0.8069,0.99838,1,0.995,0.97675,0.2722,0.77631,0.73905,0.000515,0.000515,0.000515
17,88.2756,0.27702,0.74229,0.8059,0.9984,1,0.995,0.96375,0.30023,0.74791,0.7407,0.000416,0.000416,0.000416
18,92.7323,0.2974,0.70515,0.81328,0.99843,1,0.995,0.96591,0.28192,0.67658,0.73599,0.000317,0.000317,0.000317
19,97.069,0.27273,0.6685,0.77306,0.99846,1,0.995,0.96565,0.27678,0.66327,0.7356,0.000218,0.000218,0.000218
20,101.309,0.28095,0.65706,0.79258,0.99847,1,0.995,0.9686,0.26265,0.65167,0.7347,0.000119,0.000119,0.000119
